20230306-CD,20230306-E,20230306-M,20230312-CD,20230312-E,20230312-M,20230707-CD,20230707-E,20230707-M,20230922-CD,20230922-E,20230922-M
335.0,128.0,,110.0,,,,,,,165.0,
114.0,,,41.0,,,,,,,83.6,
41.4,,,430.0,,,,,,,116.0,
433.0,,,120.0,,,,,,,148.0,
121.99999999999999,,,220.0,,,,,,,209.0,
217.0,,,16.0,,,,,,,11.3,
16.1,,,56.0,,,,,,,275.0,
55.8,,,310.0,,,,,,,204.0,
305.0,,,57.0,,,,,,,124.00000000000001,
56.7,,,610.0,,,,,,,14.900000000000002,
606.0,,,180.0,,,,,,,41.8,
179.0,,,77.0,,,,,,,867.0,
76.6,,,93.0,,,,,,,81.2,
92.80000000000001,,,460.0,,,,,,,52.9,
458.0,,,450.0,,,,,,,27.0,
448.0,,,170.0,,,,,,,46.3,
168.0,,,160.0,,,,,,,43.7,
157.0,,,160.0,,,,,,,39.9,
160.0,,,16.0,,,,,,,278.0,
16.5,,,570.0,,,,,,,33.400000000000006,
566.0,,,44.0,,,,,,,83.10000000000001,
44.400000000000006,,,57.0,,,,,,,89.8,
56.599999999999994,,,50.0,,,,,,,24.7,
50.1,,,350.0,,,,,,,34.5,
354.0,,,250.00000000000003,,,,,,,38.8,
249.00000000000003,,,18.0,,,,,,,195.0,
18.4,,,240.0,,,,,,,60.6,
236.0,,,45.0,,,,,,,27.0,
44.800000000000004,,,170.0,,,,,,,170.0,
167.0,,,180.0,,,,,,,40.1,
179.0,,,660.0,,,,,,,79.0,
664.0,,,190.0,,,,,,,40.8,
189.0,,,27.0,,,,,,,35.5,
27.2,,,270.0,,,,,,,22.9,
269.0,,,99.0,,,,,,,29.0,
99.4,,,390.0,,,,,,,37.9,
390.0,,,570.0,,,,,,,62.099999999999994,
565.0,,,220.0,,,,,,,54.599999999999994,
223.0,,,41.0,,,,,,,36.4,
41.0,,,55.0,,,,,,,66.5,
54.9,,,790.0,,,,,,,160.0,
793.0,,,110.0,,,,,,,66.30000000000001,
112.0,,,670.0,,,,,,,132.0,
674.0,,,790.0,,,,,,,51.7,
789.0,,,140.0,,,,,,,82.10000000000001,
143.0,,,110.0,,,,,,,159.0,
111.0,,,440.0,,,,,,,31.000000000000004,
435.0,,,150.0,,,,,,,36.2,
146.0,,,580.0,,,,,,,23.7,
578.0,,,630.0,,,,,,,212.0,
628.0,,,43.0,,,,,,,373.0,
43.0,,,1400.0,,,,,,,120.0,
1370.0,,,790.0,,,,,,,47.7,
794.0,,,420.0,,,,,,,30.6,
417.0,,,2100.0,,,,,,,29.2,
2130.0,,,280.0,,,,,,,35.699999999999996,
279.0,,,72.0,,,,,,,88.2,
72.10000000000001,,,48.0,,,,,,,107.0,
48.3,,,,,,,,,,219.0,
,,,,,,,,,,113.0,
,,,,,,,,,,28.299999999999997,
,,,,,,,,,,265.0,
,,,,,,,,,,37.300000000000004,
